S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
903,Maruti Ertiga VDI,Coimbatore,2022,85827,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,7.5
904,Mercedes-Benz New C-Class C 220 CDI Style,Jaipur,2022,58205,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,27.0
905,Maruti Swift Dzire Vdi BSIV,Mumbai,2014,91000,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,5.0,,2.85
906,Renault Duster 110PS Diesel RxZ Pack,Pune,2018,74000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,6.35
907,Maruti Ritz VDi,Hyderabad,2016,79324,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,3.3
908,Maruti Swift Dzire VXI,Bangalore,2019,38623,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,,5.0
909,Maruti Swift ZDi,Coimbatore,2020,59923,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,6.46
910,Hyundai EON Sportz,Jaipur,2023,23360,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,3.75
911,Maruti Zen VXI BSII,Kochi,2009,61495,Petrol,Manual,Third & above,17.3 kmpl,993 CC,60 bhp,5.0,,1.52
912,Maruti Eeco 7 Seater Standard,Coimbatore,2018,56661,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7.0,4.98 Lakh,3.61
913,Audi Q5 30 TDI quattro Premium,Coimbatore,2023,40318,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5.0,,43.74
914,Audi Q3 2.0 TDI,Chennai,2020,60000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5.0,,20.0
915,Smart Fortwo CDI AT,Pune,2014,103000,Diesel,Automatic,Second,0.0 kmpl,799 CC,null bhp,2.0,,3.0
916,Maruti Swift Dzire VDi,Hyderabad,2016,130000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,,3.65
917,Tata Sumo DX,Mumbai,2019,20000,Diesel,Manual,First,14.07 kmpl,1978 CC,83.1 bhp,10.0,,5.25
918,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Hyderabad,2022,76000,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,7.0,,58.0
919,Honda City i-VTEC CVT VX,Mumbai,2021,30000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,15.29 Lakh,8.65
920,Tata Indigo eCS eLX BS IV,Delhi,2021,150000,Diesel,Manual,First,25.0 kmpl,1396 CC,69.01 bhp,5.0,,2.5
921,Volkswagen Vento TSI,Chennai,2020,28000,Petrol,Automatic,First,16.93 kmpl,1197 CC,103.6 bhp,5.0,,7.75
922,Maruti Celerio VXI,Bangalore,2021,74000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,4.15
923,Toyota Fortuner 3.0 Diesel,Delhi,2017,75000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,10.85
924,Mitsubishi Outlander 2.4,Delhi,2016,76000,Petrol,Automatic,Second,11.3 kmpl,2360 CC,170 bhp,5.0,,5.53
925,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Pune,2020,64889,Diesel,Automatic,First,15.5 kmpl,1896 CC,105 bhp,5.0,,11.5
926,Porsche Cayman 2009-2012 S,Hyderabad,2016,10000,Petrol,Manual,First,9.0 kmpl,3436 CC,null bhp,2.0,,40.0
927,Hyundai Creta 1.6 CRDi SX,Kolkata,2021,43000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,9.25
928,Skoda Fabia 1.2 MPI Ambiente Petrol,Pune,2017,47490,Petrol,Manual,First,17.5 kmpl,1198 CC,75 bhp,5.0,,2.29
929,Ford EcoSport 1.5 TDCi Titanium,Chennai,2021,80000,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,,7.0
930,Maruti Zen Estilo 1.1 LXI BSIII,Bangalore,2013,60000,Petrol,Manual,Second,18.2 kmpl,1061 CC,64 bhp,5.0,,1.65
931,Maruti Ciaz 1.4 Delta,Ahmedabad,2023,6006,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,8.25
932,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2017,71703,Petrol,Automatic,First,14.74 kmpl,1991 CC,181.03 bhp,5.0,,9.14
933,Honda Amaze SX i-VTEC,Hyderabad,2022,33000,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,,6.5
934,Toyota Etios GD,Kolkata,2018,60000,Diesel,Manual,First,23.59 kmpl,1364 CC,null bhp,5.0,,2.95
935,Renault Duster 85PS Diesel RxL,Jaipur,2021,91000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,,5.75
936,Maruti Wagon R LXI LPG BSIV,Hyderabad,2018,72000,LPG,Manual,First,26.2 km/kg,998 CC,58.2 bhp,5.0,,2.85
937,Volkswagen Polo Petrol Highline 1.2L,Kolkata,2017,43000,Petrol,Manual,Second,16.47 kmpl,1198 CC,73.9 bhp,5.0,,2.1
938,Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,2023,63770,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,13.55
939,Jaguar XF Diesel,Kolkata,2018,43510,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5.0,,20.5
940,Jeep Compass 2.0 Limited 4X4,Mumbai,2023,52000,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5.0,24.26 Lakh,20.0
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2024,31427,Diesel,Automatic,First,15.68 kmpl,1999 CC,177 bhp,5.0,75.12 Lakh,59.72
942,Maruti Baleno Alpha Diesel,Kolkata,2022,29000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5.0,9.53 Lakh,6.5
943,Maruti Ciaz ZDi SHVS,Ahmedabad,2022,56000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,7.5
944,Maruti SX4 Vxi BSIII,Jaipur,2013,76000,Petrol,Manual,Second,15.0 kmpl,1586 CC,104.68 bhp,5.0,,2.15
945,Hyundai Elantra CRDi SX,Coimbatore,2021,53615,Diesel,Manual,First,22.7 kmpl,1582 CC,126.24 bhp,5.0,,8.44
946,Mitsubishi Pajero Sport 4X4,Bangalore,2019,132000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,34.6 Lakh,12.49
947,Volkswagen Ameo 1.2 MPI Comfortline,Pune,2023,14800,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5.0,,5.48
948,Maruti Ritz VXi,Hyderabad,2019,35433,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5.0,,4.2
949,Hyundai Verna CRDi SX,Hyderabad,2019,82966,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5.0,,7.2
950,Maruti Swift Dzire Tour LDI,Jaipur,2020,96000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,4.8
951,Mahindra KUV 100 mFALCON D75 K6,Kochi,2023,39528,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6.0,,5.83
952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2024,92056,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,26.45 Lakh,18.39
953,Maruti Baleno Delta 1.2,Pune,2022,14930,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,,5.85
954,Honda Jazz VX Diesel,Mumbai,2022,38000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,11.15 Lakh,6.21
955,Hyundai i20 1.2 Asta,Delhi,2019,71000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,,3.65
956,Hyundai i20 Sportz Diesel,Delhi,2018,71000,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,,3.7
957,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Pune,2021,50000,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,30.0
958,Hyundai Xcent 1.2 Kappa Base,Kochi,2022,48163,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5.0,,4.85
959,Hyundai Grand i10 AT Asta,Coimbatore,2023,19168,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,,6.93
960,Maruti Alto 800 VXI,Kolkata,2022,26000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,,2.6
961,Chevrolet Sail Hatchback 1.2 LS,Kolkata,2020,37400,Petrol,Manual,First,18.2 kmpl,1199 CC,82.5 bhp,5.0,,1.89
962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2024,8682,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5.0,52.26 Lakh,39.5
963,Skoda Superb Elegance 1.8 TSI AT,Mumbai,2018,95000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,,10.0
964,Audi A4 2.0 TDI,Kolkata,2015,34000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,,9.95
965,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Mumbai,2020,95000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8.0,,9.45
966,Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2023,13689,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5.0,,28.25
967,Hyundai i10 Era,Jaipur,2014,84000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,,1.8
968,Maruti Swift Dzire VXi,Kolkata,2014,47000,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,,1.4
969,Skoda Rapid 1.5 TDI AT Ambition,Ahmedabad,2021,60001,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,,7.25
970,Maruti Ritz VDi,Hyderabad,2018,96000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,,3.6
971,Hyundai Accent GLS 1.6,Jaipur,2010,47300,Petrol,Manual,Second,14.4 kmpl,1599 CC,94 bhp,5.0,,1.2
972,Honda Amaze SX i-VTEC,Coimbatore,2020,28246,Petrol,Manual,Second,17.8 kmpl,1198 CC,86.7 bhp,5.0,,4.94
973,Maruti Wagon R LXI,Delhi,2013,65000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,,1.25
974,Volkswagen Polo Diesel Comfortline 1.2L,Chennai,2019,68000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5.0,,4.8
975,Ford Endeavour 2.2 Trend AT 4X2,Kochi,2025,11209,Diesel,Automatic,First,12.62 kmpl,2198 CC,158 bhp,7.0,,31.15
976,Hyundai i20 1.2 Sportz,Pune,2017,41980,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5.0,,3.3
977,Chevrolet Beat Diesel PS,Bangalore,2018,65000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5.0,,2.4
978,Honda Civic 2010-2013 1.8 V MT,Kolkata,2016,38000,Petrol,Manual,First,14.8 kmpl,1799 CC,130.2 bhp,5.0,,2.0
979,Maruti Wagon R VXI BS IV,Pune,2020,51000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,,3.1
980,Skoda Rapid 1.6 MPI Ambition Plus,Kochi,2020,33855,Petrol,Manual,First,15.0 kmpl,1598 CC,103.6 bhp,5.0,,5.09
981,Maruti Baleno Vxi - BSIII,Pune,2012,146000,Petrol,Manual,Second,15.4 kmpl,1590 CC,94 bhp,5.0,,1.05
982,Ford EcoSport 1.5 TDCi Titanium,Bangalore,2021,47037,Diesel,Manual,Second,22.77 kmpl,1498 CC,98.59 bhp,5.0,,7.0
983,Hyundai Accent GLE,Ahmedabad,2016,58000,Petrol,Manual,Second,13.2 kmpl,1495 CC,94 bhp,5.0,,2.5
984,BMW 5 Series 520d Luxury Line,Mumbai,2018,61240,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,70.43 Lakh,17.5
985,Maruti Alto K10 2010-2014 VXI,Chennai,2017,91211,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,,2.1
986,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Bangalore,2019,84000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5.0,,17.75
987,Maruti Wagon R LXI DUO BSIII,Mumbai,2014,64226,LPG,Manual,First,17.3 km/kg,1061 CC,57.5 bhp,5.0,,1.45
988,Toyota Corolla H4,Bangalore,2011,67000,Petrol,Automatic,Second,11.3 kmpl,1794 CC,125 bhp,5.0,,2.45
989,Volvo XC60 D5,Pune,2017,106976,Diesel,Automatic,First,13.5 kmpl,2400 CC,215 bhp,5.0,,13.8
990,Honda Jazz 1.5 VX i DTEC,Kolkata,2022,27210,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,,5.85
991,Maruti Ciaz 1.3 Alpha,Delhi,2023,26322,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,8.9
992,Maruti Swift VXI BSIV,Mumbai,2022,9107,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,5.15
993,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2021,63983,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,,16.56
994,Maruti Wagon R VXI Minor,Chennai,2016,134000,Petrol,Manual,Second,18.9 kmpl,1061 CC,67 bhp,5.0,,1.65
995,Mercedes-Benz A Class A180 Sport,Pune,2021,11000,Petrol,Automatic,First,15.5 kmpl,1595 CC,120.7 bhp,5.0,,16.0
996,Hyundai Santro Xing GL,Pune,2014,93000,Petrol,Manual,First,0.0 kmpl,1086 CC,62 bhp,5.0,,1.45
997,Maruti Swift Dzire AMT ZDI,Coimbatore,2023,24852,Diesel,Automatic,First,26.59 kmpl,1248 CC,74 bhp,5.0,,8.08
998,Hyundai Grand i10 AT Asta,Pune,2020,37632,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,,4.5
999,Nissan Sunny 2011-2014 XV Special Edition,Chennai,2019,55000,Petrol,Manual,Second,16.95 kmpl,1498 CC,97.7 bhp,5.0,,4.3
1000,Maruti A-Star Lxi,Hyderabad,2016,81448,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,,2.6
1001,Renault KWID RXT Optional,Hyderabad,2024,1900,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,4.8 Lakh,4.45
1002,Hyundai Verna 1.6 SX VTVT (O) AT,Coimbatore,2018,54957,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,5.0,,5.37
1003,Maruti Wagon R LXI Minor,Chennai,2014,55000,Petrol,Manual,Second,18.9 kmpl,1061 CC,67 bhp,5.0,,1.75
1004,BMW 3 Series 320d Sport Line,Kolkata,2019,21983,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,,16.5
1005,BMW 5 Series 2003-2012 520d,Delhi,2019,76000,Diesel,Automatic,First,18.48 kmpl,1995 CC,177 bhp,5.0,,19.0
1006,Tata Indigo CS eVX,Jaipur,2022,65000,Diesel,Manual,First,25.0 kmpl,1396 CC,69.01 bhp,5.0,,2.8
1007,Hyundai i20 Sportz 1.4 CRDi,Hyderabad,2021,26000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,6.2
1008,Maruti Omni E MPI STD BS IV,Kochi,2025,11571,Petrol,Manual,First,16.8 kmpl,796 CC,34.2 bhp,8.0,,3.8
1009,Maruti Swift ZDi,Hyderabad,2020,81000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,6.1
1010,Ford Ecosport Signature Edition Diesel,Coimbatore,2025,23154,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5.0,12.12 Lakh,11.65
1011,Honda Brio VX AT,Mumbai,2020,26856,Petrol,Automatic,First,16.5 kmpl,1198 CC,86.8 bhp,5.0,,4.15
1012,Toyota Innova Crysta 2.4 GX MT,Chennai,2023,67489,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,19.37 Lakh,16.5
1013,Mahindra Scorpio 2.6 LX,Bangalore,2014,176000,Diesel,Manual,Second,10.5 kmpl,2179 CC,120 bhp,8.0,,4.3
1014,Hyundai i20 1.2 Magna,Kolkata,2016,18000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,2.25
1015,Hyundai Verna 1.6 SX,Ahmedabad,2020,63003,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,6.75
1016,Mahindra XUV500 W6 2WD,Chennai,2020,80000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,9.4
1017,Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2020,56658,Diesel,Manual,First,20.64 kmpl,1498 CC,108.5 bhp,5.0,12.14 Lakh,5.39
1018,Maruti Swift Dzire VDI Optional,Kochi,2025,18592,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,,8.51
1019,Tata Manza Aura Safire BS IV,Pune,2016,75695,Petrol,Manual,First,13.7 kmpl,1368 CC,88.8 bhp,5.0,,1.85
1020,Maruti Swift VDI,Kolkata,2018,82000,Diesel,Manual,Second,22.9 kmpl,1248 CC,74 bhp,5.0,,2.5
1021,Volkswagen Polo Diesel Highline 1.2L,Chennai,2019,60000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,4.75
1022,Honda City 1.5 V MT,Pune,2015,138000,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5.0,,3.5
1023,Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Bangalore,2020,67000,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,,5.5
1024,Honda City 1.5 V MT,Coimbatore,2018,42750,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,6.33
1025,Chevrolet Beat Diesel,Kochi,2020,52398,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5.0,,2.47
1026,Chevrolet Spark 1.0 LS,Kochi,2020,36657,Petrol,Manual,First,16.2 kmpl,995 CC,62.1 bhp,5.0,,3.3
1027,Tata New Safari DICOR 2.2 EX 4x2,Delhi,2017,77000,Diesel,Manual,Second,11.57 kmpl,2179 CC,138.1 bhp,7.0,,3.5
1028,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,2020,85000,Diesel,Automatic,First,11.3 kmpl,2987 CC,254.8 bhp,7.0,,38.75
1029,BMW 5 Series 2003-2012 530d Highline,Pune,2014,112500,Diesel,Automatic,First,11.5 kmpl,2993 CC,235 bhp,5.0,,7.99
1030,Toyota Fortuner 2.8 4WD MT,Kochi,2019,105072,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7.0,36.69 Lakh,13.28
1031,BMW X1 sDrive 18i,Pune,2018,80000,Petrol,Automatic,First,11.25 kmpl,1995 CC,150 bhp,5.0,,9.5
1032,Renault Captur 1.5 Diesel Platine Mono,Kochi,2025,3102,Diesel,Manual,First,20.37 kmpl,1461 CC,108.45 bhp,5.0,,14.01
1033,Hyundai Xcent 1.1 CRDi S,Coimbatore,2022,14656,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5.0,,6.99
1034,BMW 3 Series 320d,Hyderabad,2016,105000,Diesel,Automatic,Second,13.2 kmpl,1995 CC,170 bhp,5.0,,11.0
1035,BMW 5 Series 2010-2013 525i,Hyderabad,2014,61000,Petrol,Automatic,Second,10.8 kmpl,2497 CC,215 bhp,5.0,,11.0
1036,Nissan Micra XE,Pune,2016,85046,Petrol,Manual,Second,18.06 kmpl,1198 CC,75 bhp,5.0,,2.3
1037,Jaguar XF 2.2 Litre Luxury,Delhi,2020,48000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,,26.5
1038,Land Rover Range Rover TDV8 (Diesel),Bangalore,2017,55000,Diesel,Automatic,First,10.2 kmpl,4367 CC,308 bhp,7.0,,67.0
1039,Jeep Compass 1.4 Limited Option,Mumbai,2023,4000,Petrol,Automatic,First,16.0 kmpl,1368 CC,160 bhp,5.0,23.68 Lakh,17.75
1040,Honda CR-V 2.4 AT,Delhi,2016,94000,Petrol,Automatic,Second,10.1 kmpl,2354 CC,152 bhp,5.0,,4.8
1041,Maruti Swift VXI,Coimbatore,2019,61110,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,,4.57
1042,Hyundai Xcent 1.1 CRDi S,Chennai,2022,80000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5.0,,3.5
1043,Nissan Terrano XV Premium 110 PS,Kochi,2021,43190,Diesel,Manual,First,19.01 kmpl,1461 CC,108.5 bhp,5.0,,7.61
1044,Audi A4 35 TDI Technology,Hyderabad,2021,45000,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5.0,55.61 Lakh,25.0
1045,Hyundai Grand i10 Asta Option,Coimbatore,2022,44178,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.88
1046,Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,2021,84415,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,,13.5
1047,Hyundai i20 1.2 Magna,Kolkata,2021,35000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,4.6
1048,Ford EcoSport 1.5 TDCi Titanium,Kolkata,2019,44000,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,,4.9
1049,Honda City 1.5 S MT,Hyderabad,2018,67635,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,5.25
1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2024,18385,Petrol,Automatic,First,14.8 kmpl,1497 CC,121.36 bhp,5.0,14.1 Lakh,12.41
1051,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2020,35000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,3.8
1052,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mumbai,2016,49000,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,,8.95
1053,Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2019,69000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,7.2
1054,Tata Indigo GLE,Hyderabad,2023,23228,Petrol,Manual,First,14.4 kmpl,1396 CC,65 bhp,5.0,,4.5
1055,Maruti Swift Dzire LDI,Delhi,2020,68462,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,,4.15
1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2022,74611,Diesel,Manual,First,25.1 kmpl,1248 CC,88.5 bhp,5.0,13.26 Lakh,7.94
1057,Renault Duster 110PS Diesel RxZ Pack,Pune,2020,90000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,7.25
1058,Maruti Wagon R VXI,Delhi,2022,22000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,3.7
1059,Hyundai Santro Xing GL,Hyderabad,2016,58163,Petrol,Manual,First,0.0 kmpl,1086 CC,62 bhp,5.0,,2.45
1060,Chevrolet Beat Diesel LT,Chennai,2017,109500,Diesel,Manual,Third & above,25.44 kmpl,936 CC,57.6 bhp,5.0,,1.5
1061,Mahindra XUV500 W4 1.99 mHawk,Delhi,2023,13363,Diesel,Manual,First,16.0 kmpl,1997 CC,140 bhp,7.0,,12.0
1062,Hyundai i10 Era 1.1,Delhi,2018,51000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,,2.2
1063,Tata New Safari DICOR 2.2 EX 4x4,Hyderabad,2013,103000,Diesel,Manual,First,13.93 kmpl,2179 CC,138 bhp,7.0,,3.6
1064,Hyundai i10 Sportz,Kolkata,2015,43002,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,1.92
1065,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2022,108000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,28.05 Lakh,20.5
1066,Skoda Laura Elegance MT,Jaipur,2016,82407,Diesel,Manual,First,17.5 kmpl,1896 CC,106 bhp,5.0,,4.25
1067,Hyundai Grand i10 Sportz,Kolkata,2019,29000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,3.2
1068,Toyota Etios Liva GD,Pune,2018,225000,Diesel,Manual,Second,23.59 kmpl,1364 CC,null bhp,5.0,,2.6
1069,Maruti Swift Dzire VDI,Kolkata,2020,45000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,3.85
1070,Hyundai i20 Asta 1.4 CRDi (Diesel),Kochi,2016,93401,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,,3.48
1071,Ford Figo 2015-2019 1.5D Trend MT,Hyderabad,2023,95802,Diesel,Manual,Second,25.83 kmpl,1498 CC,99 bhp,5.0,,4.55
1072,Maruti Ertiga VDI,Pune,2022,130000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,11.27 Lakh,7.0
1073,Maruti Ertiga ZDI,Ahmedabad,2019,67443,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,,5.75
1074,Honda City 1.5 V AT Sunroof,Kochi,2022,47681,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,8.73
1075,Maruti Alto LXi BSIII,Hyderabad,2015,35000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.7
1076,Ford Endeavour 3.2 Titanium AT 4X4,Hyderabad,2022,68000,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7.0,,29.5
1077,Maruti Vitara Brezza ZDi Plus,Kochi,2025,34688,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11.2 Lakh,10.49
1078,Porsche Boxster S tiptronic,Kolkata,2021,10512,Petrol,Automatic,First,8.6 kmpl,2706 CC,265 bhp,2.0,,64.0
1079,Maruti Swift ZDi,Pune,2022,58000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,7.55
1080,Tata Zest Revotron 1.2 XT,Mumbai,2020,40000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,8.56 Lakh,3.95
1081,Hyundai i20 1.2 Sportz Option,Bangalore,2016,61000,Petrol,Manual,Third & above,17.0 kmpl,1197 CC,80 bhp,5.0,,3.25
1082,Skoda Fabia 1.4 TDI Active,Mumbai,2015,86000,Diesel,Manual,First,19.4 kmpl,1422 CC,70 bhp,5.0,,2.75
1083,Toyota Corolla Altis D-4D J,Kolkata,2021,45000,Diesel,Manual,First,21.43 kmpl,1364 CC,87.2 bhp,5.0,,7.35
1084,Volkswagen Ameo 1.2 MPI Comfortline,Ahmedabad,2023,55000,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5.0,,4.7
1085,Hyundai Creta 1.6 VTVT S,Kochi,2022,36855,Petrol,Manual,Second,15.29 kmpl,1591 CC,121.3 bhp,5.0,,8.77
